mu,alpha,sigma_inicial,replica,aptitud
30,1.15,1.5,0,1.824186870430002
30,1.15,1.5,1,1.7354505661873256
30,1.15,1.5,2,1.898585062468557
30,1.15,1.5,3,2.1690939451821767
30,1.15,1.5,4,1.7664251035667298
30,1.15,1.5,5,2.0032690350938185
30,1.15,1.5,6,1.8123977841996701
30,1.15,1.5,7,1.7633683903919433
30,1.15,1.5,8,1.7290075598372652
30,1.15,1.5,9,1.774479831595374
30,1.15,3.0,0,1.7389966148621974
30,1.15,3.0,1,1.7399049450908748
30,1.15,3.0,2,1.7514494293341714
30,1.15,3.0,3,1.7798652072143828
30,1.15,3.0,4,1.915510867768294
30,1.15,3.0,5,1.9629662277032411
30,1.15,3.0,6,1.7317239531393596
30,1.15,3.0,7,1.9016332230092374
30,1.15,3.0,8,1.7745019346062596
30,1.15,3.0,9,1.8584639080599163
30,1.2,0.05,0,1.827463121595262
30,1.2,0.05,1,1.9187789162806765
30,1.2,0.05,2,1.7316678612127006
30,1.2,0.05,3,1.8741835130666678
30,1.2,0.05,4,1.7364147671369787
30,1.2,0.05,5,1.734945936068822
30,1.2,0.05,6,1.8538870671729186
30,1.2,0.05,7,2.419910729131793
30,1.2,0.05,8,2.252196321158794
30,1.2,0.05,9,1.843386859437052
30,1.2,0.5,0,1.9410529669633463
30,1.2,0.5,1,1.9129854131276414
30,1.2,0.5,2,1.8580638380784724
30,1.2,0.5,3,1.8798234194525179
30,1.2,0.5,4,1.7397763711547745
30,1.2,0.5,5,1.8331905876975922
30,1.2,0.5,6,1.8880645170333807
30,1.2,0.5,7,1.7381155081576956
30,1.2,0.5,8,1.931985113727638
30,1.2,0.5,9,1.8904210067477556
30,1.2,1.5,0,1.9392681241839678
30,1.2,1.5,1,1.8690715541219634
30,1.2,1.5,2,1.8755147247917237
30,1.2,1.5,3,2.010656781230284
30,1.2,1.5,4,1.9663856823534647
30,1.2,1.5,5,2.1847441046801253
30,1.2,1.5,6,1.922619068771137
30,1.2,1.5,7,1.7335548612124527
30,1.2,1.5,8,2.0486214620207397
30,1.2,1.5,9,1.7917213758251949
30,1.2,3.0,0,1.9406739887418003
30,1.2,3.0,1,1.8580675594635314
30,1.2,3.0,2,1.9748067693197384
30,1.2,3.0,3,1.9156703615223947
30,1.2,3.0,4,1.7612870713202593
30,1.2,3.0,5,1.7362455592086894
30,1.2,3.0,6,1.74390481331117
